Time(msec),Integral_1st,Integral_CF,Integral_HI,Integral_Total
0.0,0.0,0.0,0.0,0.0
1.0,0.07801344550112228,0.07801344550112228,0.07801344550112228,0.07801344550112228
2.0,0.15588321613294992,0.15588321613294992,0.15588321613294992,0.15588321613294992
3.0,0.23321914488936848,0.23321914488936848,0.23321914488936848,0.23321914488936848
4.0,0.31040402464438077,0.31040402464438077,0.31040402464438077,0.31040402464438077
5.0,0.3871215122777726,0.3871215122777726,0.3871215122777726,0.3871215122777726
6.0,0.46342109019267463,0.46342109019267463,0.46342109019267463,0.46342109019267463
7.0,0.5391892874779743,0.5391892874779743,0.5391892874779743,0.5391892874779743
8.0,0.6144448151845583,0.6144448151845583,0.6144448151845583,0.6144448151845583
9.0,0.6883535878550381,0.6883535878550381,0.6883535878550381,0.6883535878550381
10.0,0.7622685650830118,0.7622685650830118,0.7622685650830118,0.7622685650830118
11.0,0.8356468162365599,0.8356468162365599,0.8356468162365599,0.8356468162365599
12.0,0.908260674480922,0.908260674480922,0.908260674480922,0.908260674480922
13.0,0.9797823785131059,0.9797823785131059,0.9797823785131059,0.9797823785131059
14.0,1.050172346721043,1.050172346721043,1.050172346721043,1.050172346721043
15.0,1.1183245775066826,1.1183245775066826,1.1183245775066826,1.1183245775066826
16.0,1.1837948291949516,1.1837948291949516,1.1837948291949516,1.1837948291949516
17.0,1.2457686405897486,1.2457686405897486,1.2457686405897486,1.2457686405897486
18.0,1.3039984452263984,1.3039984452263984,1.3039984452263984,1.3039984452263984
19.0,1.3591726933472128,1.3591726933472128,1.3591726933472128,1.3591726933472128
20.0,1.410667823402523,1.410667823402523,1.410667823402523,1.410667823402523
21.0,1.458335406645276,1.458335406645276,1.458335406645276,1.458335406645276
22.0,1.5020013064556403,1.5020013064556403,1.5020013064556403,1.5020013064556403
23.0,1.5414236152216243,1.5414236152216243,1.5414236152216243,1.5414236152216243
24.0,1.576719057528404,1.576719057528404,1.576719057528404,1.576719057528404
25.0,1.6081388354912107,1.6081388354912107,1.6081388354912107,1.6081388354912107
26.0,1.6356447093878559,1.6356447093878559,1.6356447093878559,1.6356447093878559
27.0,1.6593247305595935,1.6593247305595935,1.6593247305595935,1.6593247305595935
28.0,1.6795631180036532,1.6795631180036532,1.6795631180036532,1.6795631180036532
29.0,1.696438545271811,1.696438545271811,1.696438545271811,1.696438545271811
30.0,1.7102655248618346,1.7102655248618346,1.7102655248618346,1.7102655248618346
31.0,1.7214286115465252,1.7214286115465252,1.7214286115465252,1.7214286115465252
32.0,1.73019562576047,1.73019562576047,1.73019562576047,1.73019562576047
33.0,1.7369084234260657,1.7369084234260657,1.7369084234260657,1.7369084234260657
34.0,1.7419049768236041,1.7419049768236041,1.7419049768236041,1.7419049768236041
35.0,1.745498047694485,1.745498047694485,1.745498047694485,1.745498047694485
36.0,1.7479691210022186,1.7479691210022186,1.7479691210022186,1.7479691210022186
37.0,1.749589213944162,1.749589213944162,1.749589213944162,1.749589213944162
38.0,1.7505879440811651,1.7505879440811651,1.7505879440811651,1.7505879440811651
39.0,1.7511601379699442,1.7511601379699442,1.7511601379699442,1.7511601379699442
40.0,1.7514588438823875,1.7514588438823875,1.7514588438823875,1.7514588438823875
40.1,1.7514725897385166,1.7514725897385166,1.7514725897385166,1.7514725897385166
40.2,1.7514852165823753,1.7514852165823753,1.7514852165823753,1.7514852165823753
40.3,1.751496791511613,1.751496791511613,1.751496791511613,1.751496791511613
40.4,1.751507379722418,1.751507379722418,1.751507379722418,1.751507379722418
40.5,1.7515170406341063,1.7515170406341063,1.7515170406341063,1.7515170406341063
40.6,1.751525838528688,1.751525838528688,1.751525838528688,1.751525838528688
40.7,1.751533846816165,1.751533846816165,1.751533846816165,1.751533846816165
40.8,1.7515411248154025,1.7515411248154025,1.7515411248154025,1.7515411248154025
40.9,1.7515477173370613,1.7515477173370613,1.7515477173370613,1.7515477173370613
41.0,1.7515536665244298,1.7515536665244298,1.7515536665244298,1.7515536665244298
41.1,1.7515590102978362,1.7515590102978362,1.7515590102978362,1.7515590102978362
41.2,1.7515638344725937,1.7515638344725937,1.7515638344725937,1.7515638344725937
41.3,1.751568277269903,1.751568277269903,1.751568277269903,1.751568277269903
41.4,1.7515723778526542,1.7515723778526542,1.7515723778526542,1.7515723778526542
41.5,1.751576076876315,1.751576076876315,1.751576076876315,1.751576076876315
41.6,1.7515794268640033,1.7515794268640033,1.7515794268640033,1.7515794268640033
41.7,1.7515825818344408,1.7515825818344408,1.7515825818344408,1.7515825818344408
41.8,1.7515855199579367,1.7515855199579367,1.7515855199579367,1.7515855199579367
41.9,1.751588126020021,1.751588126020021,1.751588126020021,1.751588126020021
42.0,1.7515904766623005,1.7515904766623005,1.7515904766623005,1.7515904766623005
42.1,1.7515926409439693,1.7515926409439693,1.7515926409439693,1.7515926409439693
42.2,1.7515946247814047,1.7515946247814047,1.7515946247814047,1.7515946247814047
42.3,1.751596433773576,1.751596433773576,1.751596433773576,1.751596433773576
42.4,1.7515981045916498,1.7515981045916498,1.7515981045916498,1.7515981045916498
42.5,1.751599692275702,1.751599692275702,1.751599692275702,1.751599692275702
42.6,1.7516011803313551,1.7516011803313551,1.7516011803313551,1.7516011803313551
42.7,1.7516025436588782,1.7516025436588782,1.7516025436588782,1.7516025436588782
42.8,1.7516038117308985,1.7516038117308985,1.7516038117308985,1.7516038117308985
42.9,1.751605010147177,1.751605010147177,1.751605010147177,1.751605010147177
43.0,1.7516061321192251,1.7516061321192251,1.7516061321192251,1.7516061321192251
43.1,1.7516071779267606,1.7516071779267606,1.7516071779267606,1.7516071779267606
43.2,1.75160816158421,1.75160816158421,1.75160816158421,1.75160816158421
43.3,1.7516090868039111,1.7516090868039111,1.7516090868039111,1.7516090868039111
43.4,1.7516099594111936,1.7516099594111936,1.7516099594111936,1.7516099594111936
43.5,1.751610794301253,1.751610794301253,1.751610794301253,1.751610794301253
43.6,1.7516115876574563,1.7516115876574563,1.7516115876574563,1.7516115876574563
43.7,1.7516123326959083,1.7516123326959083,1.7516123326959083,1.7516123326959083
43.8,1.7516130314724947,1.7516130314724947,1.7516130314724947,1.7516130314724947
43.9,1.7516136949506989,1.7516136949506989,1.7516136949506989,1.7516136949506989
44.0,1.7516143280706997,1.7516143280706997,1.7516143280706997,1.7516143280706997
44.1,1.7516149319943246,1.7516149319943246,1.7516149319943246,1.7516149319943246
44.2,1.7516155086520764,1.7516155086520764,1.7516155086520764,1.7516155086520764
44.3,1.7516160576144826,1.7516160576144826,1.7516160576144826,1.7516160576144826
44.4,1.7516165912964015,1.7516165912964015,1.7516165912964015,1.7516165912964015
44.5,1.751617114849821,1.751617114849821,1.751617114849821,1.751617114849821
44.6,1.7516176194322766,1.7516176194322766,1.7516176194322766,1.7516176194322766
44.7,1.7516181001544904,1.7516181001544904,1.7516181001544904,1.7516181001544904
44.8,1.7516185606501113,1.7516185606501113,1.7516185606501113,1.7516185606501113
44.9,1.7516190010109935,1.7516190010109935,1.7516190010109935,1.7516190010109935
45.0,1.7516194227941342,1.7516194227941342,1.7516194227941342,1.7516194227941342
45.1,1.7516198350246723,1.7516198350246723,1.7516198350246723,1.7516198350246723
45.2,1.7516202412434412,1.7516202412434412,1.7516202412434412,1.7516202412434412
45.3,1.751620635537137,1.751620635537137,1.751620635537137,1.751620635537137
45.4,1.7516210141823065,1.7516210141823065,1.7516210141823065,1.7516210141823065
45.5,1.751621381898883,1.751621381898883,1.751621381898883,1.751621381898883
45.6,1.7516217396153992,1.7516217396153992,1.7516217396153992,1.7516217396153992
45.7,1.7516220895601171,1.7516220895601171,1.7516220895601171,1.7516220895601171
45.8,1.751622434056562,1.751622434056562,1.751622434056562,1.751622434056562
45.9,1.7516227708353642,1.7516227708353642,1.7516227708353642,1.7516227708353642
46.0,1.751623096903875,1.751623096903875,1.751623096903875,1.751623096903875
46.1,1.7516234158320279,1.7516234158320279,1.7516234158320279,1.7516234158320279
46.2,1.75162373055198,1.75162373055198,1.75162373055198,1.75162373055198
46.3,1.7516240382380277,1.7516240382380277,1.7516240382380277,1.7516240382380277
46.4,1.7516243367985915,1.7516243367985915,1.7516243367985915,1.7516243367985915
46.5,1.751624628574722,1.751624628574722,1.751624628574722,1.751624628574722
46.6,1.7516249187815325,1.7516249187815325,1.7516249187815325,1.7516249187815325
46.7,1.7516252058435844,1.7516252058435844,1.7516252058435844,1.7516252058435844
46.8,1.751625486448321,1.751625486448321,1.751625486448321,1.751625486448321
46.9,1.7516257637474568,1.7516257637474568,1.7516257637474568,1.7516257637474568
47.0,1.7516260383040734,1.7516260383040734,1.7516260383040734,1.7516260383040734
47.1,1.751626310093957,1.751626310093957,1.751626310093957,1.751626310093957
47.2,1.7516265807735951,1.7516265807735951,1.7516265807735951,1.7516265807735951
47.3,1.7516268487817477,1.7516268487817477,1.7516268487817477,1.7516268487817477
47.4,1.7516271129936045,1.7516271129936045,1.7516271129936045,1.7516271129936045
47.5,1.7516273740010706,1.7516273740010706,1.7516273740010706,1.7516273740010706
47.6,1.751627630450783,1.751627630450783,1.751627630450783,1.751627630450783
47.7,1.7516278824282427,1.7516278824282427,1.7516278824282427,1.7516278824282427
47.8,1.7516281324959269,1.7516281324959269,1.7516281324959269,1.7516281324959269
47.9,1.751628381543261,1.751628381543261,1.751628381543261,1.751628381543261
48.0,1.7516286289034109,1.7516286289034109,1.7516286289034109,1.7516286289034109
48.1,1.7516288737071566,1.7516288737071566,1.7516288737071566,1.7516288737071566
48.2,1.7516291165876927,1.7516291165876927,1.7516291165876927,1.7516291165876927
48.3,1.7516293580332136,1.7516293580332136,1.7516293580332136,1.7516293580332136
48.4,1.7516295972008553,1.7516295972008553,1.7516295972008553,1.7516295972008553
48.5,1.7516298335738465,1.7516298335738465,1.7516298335738465,1.7516298335738465
48.6,1.7516300679719212,1.7516300679719212,1.7516300679719212,1.7516300679719212
48.7,1.7516303007020448,1.7516303007020448,1.7516303007020448,1.7516303007020448
48.8,1.7516305318743877,1.7516305318743877,1.7516305318743877,1.7516305318743877
48.9,1.7516307617461884,1.7516307617461884,1.7516307617461884,1.7516307617461884
49.0,1.751630989805927,1.751630989805927,1.751630989805927,1.751630989805927
49.1,1.7516312156270955,1.7516312156270955,1.7516312156270955,1.7516312156270955
49.2,1.7516314397390806,1.7516314397390806,1.7516314397390806,1.7516314397390806
49.3,1.7516316628119935,1.7516316628119935,1.7516316628119935,1.7516316628119935
49.4,1.7516318847502494,1.7516318847502494,1.7516318847502494,1.7516318847502494
49.5,1.7516321054697324,1.7516321054697324,1.7516321054697324,1.7516321054697324
49.6,1.7516323251671915,1.7516323251671915,1.7516323251671915,1.7516323251671915
49.7,1.7516325437075768,1.7516325437075768,1.7516325437075768,1.7516325437075768
49.8,1.7516327606736821,1.7516327606736821,1.7516327606736821,1.7516327606736821
49.9,1.751632976022775,1.751632976022775,1.751632976022775,1.751632976022775
50.0,1.7516331902112996,1.7516331902112996,1.7516331902112996,1.7516331902112996
51.0,1.7516353262496893,1.7516353262496893,1.7516353262496893,1.7516353262496893
52.0,1.7516375810833218,1.7516375810833218,1.7516375810833218,1.7516375810833218
53.0,1.7516398659035608,1.7516398659035608,1.7516398659035608,1.7516398659035608
54.0,1.7516422062426311,1.7516422062426311,1.7516422062426311,1.7516422062426311
55.0,1.7516445958754432,1.7516445958754432,1.7516445958754432,1.7516445958754432
56.0,1.7516470387748262,1.7516470387748262,1.7516470387748262,1.7516470387748262
57.0,1.7516495128083465,1.7516495128083465,1.7516495128083465,1.7516495128083465
58.0,1.7516520117856624,1.7516520117856624,1.7516520117856624,1.7516520117856624
59.0,1.7516545438857853,1.7516545438857853,1.7516545438857853,1.7516545438857853
60.0,1.7516571079699608,1.7516571079699608,1.7516571079699608,1.7516571079699608
61.0,1.7516597016950217,1.7516597016950217,1.7516597016950217,1.7516597016950217
62.0,1.7516623171514771,1.7516623171514771,1.7516623171514771,1.7516623171514771
63.0,1.751664953404703,1.751664953404703,1.751664953404703,1.751664953404703
64.0,1.7516676172086707,1.7516676172086707,1.7516676172086707,1.7516676172086707
65.0,1.7516702852663066,1.7516702852663066,1.7516702852663066,1.7516702852663066
66.0,1.7516729705517078,1.7516729705517078,1.7516729705517078,1.7516729705517078
67.0,1.7516756693033346,1.7516756693033346,1.7516756693033346,1.7516756693033346
68.0,1.7516783795429662,1.7516783795429662,1.7516783795429662,1.7516783795429662
69.0,1.7516810996004124,1.7516810996004124,1.7516810996004124,1.7516810996004124
70.0,1.7516838298145934,1.7516838298145934,1.7516838298145934,1.7516838298145934
71.0,1.751686575439205,1.751686575439205,1.751686575439205,1.751686575439205
72.0,1.7516893341808584,1.7516893341808584,1.7516893341808584,1.7516893341808584
73.0,1.7516921111036425,1.7516921111036425,1.7516921111036425,1.7516921111036425
74.0,1.7516949023441943,1.7516949023441943,1.7516949023441943,1.7516949023441943
75.0,1.7516976934793453,1.7516976934793453,1.7516976934793453,1.7516976934793453
76.0,1.751700487020437,1.751700487020437,1.751700487020437,1.751700487020437
77.0,1.7517032854557444,1.7517032854557444,1.7517032854557444,1.7517032854557444
78.0,1.7517060986944097,1.7517060986944097,1.7517060986944097,1.7517060986944097
79.0,1.7517089154781413,1.7517089154781413,1.7517089154781413,1.7517089154781413
80.0,1.751711740844539,1.751711740844539,1.751711740844539,1.751711740844539
81.0,1.7517145708952164,1.7517145708952164,1.7517145708952164,1.7517145708952164
82.0,1.7517174091390804,1.7517174091390804,1.7517174091390804,1.7517174091390804
83.0,1.7517202515845485,1.7517202515845485,1.7517202515845485,1.7517202515845485
84.0,1.7517231075911437,1.7517231075911437,1.7517231075911437,1.7517231075911437
85.0,1.7517259636940126,1.7517259636940126,1.7517259636940126,1.7517259636940126
86.0,1.7517288232129673,1.7517288232129673,1.7517288232129673,1.7517288232129673
87.0,1.7517316742088809,1.7517316742088809,1.7517316742088809,1.7517316742088809
88.0,1.7517345245931195,1.7517345245931195,1.7517345245931195,1.7517345245931195
89.0,1.7517373843015311,1.7517373843015311,1.7517373843015311,1.7517373843015311
90.0,1.7517402508257969,1.7517402508257969,1.7517402508257969,1.7517402508257969
