filename,AR,H2O,HE,IC8H18,N2,O2,T_EOC (K),P_EOC (bar)
ic8_01_1020mbar_303K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,633.2759258,20.10501236
ic8_02_1020mbar_318K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,662.6095004,20.1139229
ic8_03_1020mbar_333K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,687.1674111,19.96537199
ic8_04_1020mbar_348K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,713.4953178,19.85773631
ic8_05_1020mbar_363K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,738.2453007,19.64901017
,,,,,,,,
ic8_01_645mbar_333K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,759.6323166,19.65615984
ic8_06_1050mbar_378K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,760.5602942,19.80098927
ic8_01_860mbar_313K_CK,0.58268627,1.65E-10,1.65E-12,0.016520734,0.19428383,0.20650917,765.2466461,19.68467634
ic8_07_1050mbar_393K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,788.2138025,19.83551009
ic8_02_645mbar_348K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,788.7767896,19.64572851
ic8_03_645mbar_363K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,814.8979554,19.33814576
ic8_02_860mbar_341K_CK,0.58268627,1.65E-10,1.65E-12,0.016520734,0.19428383,0.20650917,823.4081983,19.65897573
ic8_08_1050mbar_418K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,829.7454384,19.63760817
ic8_04_645mbar_378K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,843.4262204,19.32969256
ic8_03_900mbar_356K_CK,0.58268627,1.65E-10,1.65E-12,0.016520734,0.19428383,0.20650917,848.4275683,20.01944675
,,,,,,,,
ic8_05_645mbar_393K_CK,1.65E-12,1.65E-10,1.65E-12,0.016522371,0.77694799,0.20652964,873.9951831,19.54479039
ic8_04_900mbar_371K_CK,0.58268627,1.65E-10,1.65E-12,0.016520734,0.19428383,0.20650917,874.035752,19.59464606
ic8_05_920mbar_388K_CK,0.58268627,1.65E-10,1.65E-12,0.016520734,0.19428383,0.20650917,909.1952835,20.0582801
ic8_06_920mbar_403K_CK,0.58268627,1.65E-10,1.65E-12,0.016520734,0.19428383,0.20650917,937.5871862,19.93714577
ic8_07_920mbar_418K_CK,0.58268627,1.65E-10,1.65E-12,0.016520734,0.19428383,0.20650917,959.2353817,19.37018857
