Time (msec),Temperature (K),Pressure (bar),Volume (cm3)
0.0,815.08,42.1691579703716,5.98867
1.0,815.0950546425596,42.1590465850414,5.99005
2.0,814.8910714046193,42.1412534153499,5.98764
3.0,814.8318744611231,42.1001135610092,5.99073
4.0,814.6518472745425,42.0642476390358,5.99073
5.0,814.4585706492192,42.0322080467178,5.99005
6.0,813.9514547919778,41.9703189185067,5.98593
7.0,813.220251567,41.9125840196049,5.97667
8.0,813.0423506033603,41.8577515569625,5.97873
9.0,812.8755294659363,41.8019794959795,5.98113
10.0,811.9933211657735,41.733575092298,5.96984
11.0,811.225704342551,41.6812981404664,5.95926
12.0,810.4809010404128,41.6237213358522,5.94973
13.0,809.1516929602376,41.5527864100927,5.92938
14.0,806.5407725254901,41.4851757706644,5.88197
15.0,804.0573911224451,41.4173829047015,5.83744
16.0,800.725321196344,41.3505890652303,5.77549
17.0,796.5771660748692,41.2959624801421,5.69599
18.0,793.1329246056649,41.2276414505856,5.63281
19.0,789.41142327926,41.1679723366823,5.56359
20.0,784.1170872138562,41.1057664591134,5.46376
21.0,778.4825272274607,41.0457115388162,5.35813
22.0,773.3023231170845,40.9797025589916,5.26316
23.0,766.5053349254903,40.9098685920218,5.13855
24.0,759.7939660280276,40.8475003100449,5.01671
25.0,751.832783506716,40.7877623856199,4.87326
26.0,743.617569469776,40.724616897516,4.72808
27.0,734.8574788295423,40.6732669031291,4.57495
28.0,725.6354071625198,40.6207787108984,4.41704
29.0,715.6383098702471,40.5517472701971,4.25074
30.0,704.779281194716,40.4966334701129,4.07314
31.0,693.2521585848617,40.4415128080776,3.8896
32.0,681.1560648034375,40.3748942761109,3.70334
33.0,668.0212406417426,40.323896931488,3.50622
34.0,654.0944586871824,40.2713611279474,3.30458
35.0,639.4122907153281,40.2102882921607,3.10052
36.0,623.4986646993231,40.1527156240954,2.88817
37.0,606.1512051266576,40.1017748587261,2.66697
38.0,587.7322738114051,40.0484620880348,2.44431
39.0,568.0209135270479,39.9927773553732,2.2196
40.0,546.243267752665,39.9485611176681,1.98665
40.1,543.9985652840022,39.9445420227453,1.96356
40.2,541.726775409653,39.937654002283,1.94047
40.3,539.3934665823466,39.9310608690196,1.91692
40.4,537.0399420266189,39.9264880150247,1.89328
40.5,534.6736086150967,39.9207901101172,1.86974
40.6,532.2811941372087,39.915118870341296,1.84613
40.7,529.8965473622567,39.911791471611,1.82271
40.8,527.4858488577048,39.9084367545663,1.79923
40.9,525.0074947024768,39.9021317767138,1.77539
41.0,522.4863163383068,39.8934964476788,1.75142
41.1,519.9809685311312,39.8867009066918,1.72775
41.2,517.479429527994,39.8818868850898,1.70426
41.3,514.9433112717157,39.8775427657206,1.68064
41.4,512.3536934932632,39.8724902580239,1.65676
41.5,509.73270125963273,39.8665464525624,1.63284
41.6,507.11275461955694,39.8603785032924,1.60916
41.7,504.4608613151862,39.85541972468349,1.58538
41.8,501.7464559849079,39.8519180537099,1.56123
41.9,499.15143241947015,39.8487774093282,1.53836
42.0,496.8505049468465,39.8443707551358,1.51831
42.1,494.5685180899904,39.8382946877891,1.49864
42.2,492.2049647077729,39.8305734413107,1.47848
42.3,489.9543190612204,39.8249101777247,1.4594
42.4,487.8776985330753,39.8203079797631,1.44192
42.5,485.6417750887288,39.8123578826962,1.42333
42.6,483.14329893857575,39.80347323585459,1.40274
42.7,481.1375722915552,39.79711342297169,1.38633
42.8,479.6434555664061,39.7937975898391,1.37415
42.9,477.9120248086474,39.7920104261203,1.36007
43.0,475.8648333566661,39.7884267250096,1.34358
43.1,474.028820271764,39.7832489219859,1.32895
43.2,472.2357350572159,39.7798857577,1.31472
43.3,470.2268449534428,39.7775525144861,1.29886
43.4,468.2967935099749,39.7736217303106,1.28378
43.5,466.892298663078,39.7685549219106,1.27293
43.6,465.6892281264935,39.7647682054232,1.26367
43.7,464.1125110330133,39.760655680551096,1.25158
43.8,462.482579222122,39.7546974169785,1.2392
43.9,461.1198714818311,39.7492911449817,1.22892
44.0,459.6439849977877,39.7468774040327,1.21777
44.1,458.3812616895341,39.7440350326438,1.2083
44.2,457.0888583526257,39.7365052407296,1.19876
44.3,455.9100463772973,39.7274069550874,1.19015
44.4,455.301357849818,39.7199755748472,1.18578
44.5,454.5246733319847,39.7154210707645,1.18011
44.6,453.1602767812989,39.712069583633294,1.17009
44.7,451.7150140204315,39.707416760776994,1.15956
44.8,450.400185200786,39.7028791936706,1.15004
44.9,449.1527785604792,39.6969191928177,1.14109
45.0,448.2944928430658,39.6903574905887,1.13501
45.1,447.6745982352039,39.6861654651032,1.13062
45.2,446.76495037613495,39.6827585452156,1.12414
45.3,445.7198174701778,39.6776145548568,1.11675
45.4,444.7042386403976,39.6706289863364,1.10964
45.5,443.84343194108914,39.6640361018773,1.10365
45.6,443.09847562487306,39.65895205549229,1.09847
45.7,442.371401265161,39.65395498061049,1.09343
45.8,441.7026177325816,39.6492148820951,1.08881
45.9,441.1056320175478,39.6423432842864,1.08475
46.0,440.573438794081,39.6331817195995,1.0812
46.1,439.940507277156,39.6266250018054,1.0769
46.2,439.3794155437581,39.6231592188823,1.07305
46.3,438.7495279931888,39.6191893876631,1.06874
46.4,438.03766386724266,39.6128117519317,1.06392
46.5,437.4589356882234,39.6056901360796,1.06005
46.6,436.8862638029557,39.6026509778278,1.05615
46.7,436.4150473080868,39.6015627661023,1.05292
46.8,435.9956375850238,39.5980733026635,1.0501
46.9,435.5548203997332,39.5929369069251,1.04717
47.0,435.1988481736535,39.5866248822889,1.04485
47.1,434.7950469464327,39.5811112587414,1.04219
47.2,434.4033791058551,39.5780227962616,1.03957
47.3,434.0360517045249,39.5764977489032,1.03709
47.4,433.68335608815806,39.5746390853669,1.03472
47.5,433.3175556921901,39.5693788280135,1.03233
47.6,432.91456011389977,39.5625960892341,1.02972
47.7,432.5558355551767,39.5565663655261,1.0274
47.8,432.2242881256127,39.5514432509901,1.02525
47.9,431.9019765998983,39.5465968915909,1.02316
48.0,431.6207017337614,39.5407087648165,1.02137
48.1,431.3881209592798,39.5359094320862,1.01989
48.2,431.1820852537294,39.5332302953383,1.01855
48.3,430.9879269685696,39.5290403175651,1.01732
48.4,430.7803242082017,39.5217154801671,1.01606
48.5,430.6166954818645,39.514236015945,1.0151
48.6,430.4351567555799,39.5088584751737,1.01398
48.7,430.2260627565667,39.5063990815265,1.01262
48.8,430.0140547480092,39.5024401578542,1.01127
48.9,429.78801296567417,39.4962051035196,1.00987
49.0,429.5650614799822,39.4900698798999,1.00849
49.1,429.3491686927754,39.4843811813409,1.00715
49.2,429.1666357560004,39.4784002644447,1.00604
49.3,429.0205484204218,39.4731972851843,1.00516
49.4,428.85906473133406,39.4689199339422,1.00416
49.5,428.68922298840215,39.4632998465529,1.00313
49.6,428.5598883802144,39.4556229228701,1.00241
49.7,428.4577267546509,39.4496371422288,1.00184
49.8,428.3418268102774,39.4478231402937,1.0011
49.9,428.2142821264814,39.4445514820869,1.00031
50.0,428.148455730786,39.4376673477116,1.0
51.0,429.1962548209133,39.3968949926533,1.00778
52.0,429.7306931709055,39.3448697863766,1.01236
53.0,429.5170511346037,39.2977716391957,1.01182
54.0,429.8219712362784,39.2524846171281,1.01474
55.0,430.0748434717549,39.2101200911528,1.01726
56.0,430.3585809001948,39.1612832191021,1.02012
57.0,430.6990699083596,39.1157061982854,1.02331
58.0,430.8923783893159,39.0602585872743,1.0257
59.0,431.0420969479367,39.0165734792081,1.02757
60.0,431.2097768408137,38.9752664967692,1.02952
61.0,431.2599901238502,38.932012128824,1.03071
62.0,431.3030324421268,38.8863798713488,1.0319
63.0,431.3621657865595,38.837830324424,1.03326
64.0,431.5296124671867,38.8032070235171,1.03509
65.0,431.6420124379038,38.7623073161119,1.03667
66.0,431.6788677987508,38.7090248071379,1.03798
67.0,431.7627796056738,38.6711473016517,1.03931
68.0,431.8270176124008,38.6286028439467,1.0406
69.0,431.82414049185087,38.5870559497993,1.04141
70.0,431.8259827383293,38.544713723284,1.04227
71.0,431.8562418115831,38.5042538099778,1.04329
72.0,431.9012841059255,38.4580260193912,1.04453
73.0,432.026006059543,38.4283489200621,1.04599
74.0,432.0752728826338,38.3798543654709,1.04731
75.0,432.1001885929285,38.3335335145567,1.04842
76.0,432.11700141089045,38.2934228035212,1.04935
77.0,432.215278734286,38.2600691021016,1.05071
78.0,432.2890667553036,38.2228857257551,1.05198
79.0,432.25964044785127,38.17904053777,1.05267
80.0,432.29674597789847,38.1422700564193,1.05368
81.0,432.3212186609073,38.0973854020533,1.05477
